"text","text_part","chapter_n","author"
"ПИСЬМО ВТОРОЕ","номер письма",2,"Виктор"
"О любви, ревности, телефоне и о стадиях любви. Кончается оно замечанием относительно походки русских.","содержание письма",2,"Виктор"
"Дорогая Аля! 
Я уже два дня не вижу тебя. 
Звоню. Телефон пищит, я слышу, что наступил на кого-то. 
Дозваниваюсь, — ты занята днем, вечером. 
Еще раз пишу. Я очень люблю тебя. 
Ты город, в котором я живу, ты название месяца и дня. 
Плыву, соленый и тяжелый от слез, почти не высовываясь из воды. 
Кажется, скоро потону, но и там, под водою, куда не звонит телефон и не доходят слухи, где нельзя встретить тебя, я буду тебя любить. 
Я люблю тебя, Аля, а ты заставляешь меня висеть на подножке твоей жизни. 
У меня стынут руки. 
Я не ревнив к людям, я ревнив к твоему времени. 
Я не могу не видеть тебя. Ну что мне делать, когда любовь нельзя ничем заменить? 
Ты не знаешь веса вещей. Все люди равны перед тобой, как перед господом. Ну что же мне делать? 
Я очень люблю тебя. 
Сперва меня клонило к тебе, как клонит сон в вагоне голову пассажира на плечо соседа. 
Потом я загляделся на тебя. 
Знаю твой рот, твои губы. 
Я намотал на мысль о тебе всю свою жизнь. Я верю, что ты не чужой человек, — ну, посмотри в мою сторону. 
Я напугал тебя своею любовью; когда, вначале, я был еще весел, я больше тебе нравился. Это от России, дорогая. У нас тяжелая походка. Но в России я был крепок, а здесь начал плакать. 
4 февраля","текст письма",2,"Виктор"
"ПИСЬМО ТРЕТЬЕ","номер письма",3,"Аля"
"Алино же второе.В нем Аля просит не писать ей о любви. Письмо усталое.","содержание письма",3,"Аля"
"Милый, родной. Не пиши мне о любви. Не надо.
Я очень устала. У меня, как ты сам говорил, сбита холка. Нас разъединяет с тобой быт. Я не люблю тебя и не буду любить. Я боюсь твоей любви, ты когда-нибудь оскорбишь меня за то, что сейчас так любишь. Не стони так страшно, ты для меня все же свой. Не пугай меня! Ты меня так хорошо знаешь, а сам делаешь все, чтобы испугать меня, оттолкнуть от себя. Может быть, твоя любовь и большая, но она не радостная.
Ты нужен мне, ты умеешь вызвать меня из себя самой.
Не пиши мне только о своей любви. Не устраивай мне диких сцен по телефону. Не свирепей. Ты умеешь отравлять мне дни. Мне нужна свобода, чтобы никто даже не смел меня спрашивать ни о чем. А ты требуешь от меня всего моего времени. Будь легким, а не то в любви ты сорвешься. А ты с каждым днем все грустней. Тебе нужно ехать в санаторий, мой дорогой.
Пишу в кровати, оттого что вчера танцевала. Сейчас пойду в ванну. Может быть, сегодня увидимся.
Аля
5 февраля","текст письма",3,"Аля"
"ПИСЬМО ЧЕТВЕРТОЕ","номер письма",4,"Виктор"
"О холоде, предательстве Петра, о Велимире Хлебникове и его гибели.О надписи на его кресте. Здесь же говорится: о любви Хлебникова,о жестокости нелюбящих, о гвоздях, о чаше и о всей человеческой культуре, построенной по пути к любви.","содержание письма",4,"Виктор"
"Я не буду писать о любви, я буду писать только о погоде. 
Погода сегодня в Берлине хорошая. 
Синее небо и солнце выше домов. Солнце смотрит прямо в пансион Марцан, в комнату Айхенвальда. 
Я живу в другой стороне квартиры. 
На улице хорошо и свежо. 
Снега в Берлине в этом году почти не было. 
Сегодня 5 февраля… Все не о любви. 
Хожу в осеннем пальто, а если бы настал мороз, то пришлось бы называть это пальто зимним. 
Не люблю мороза и даже холода. 
Из-за холода отрекся апостол Петр от Христа. Ночь была свежая, и он подходил к костру, а у костра было общественное мнение, слуги спрашивали Петра о Христе, а Петр отрекался. 
Пел петух. 
Холода в Палестине не сильны. Там, наверное, даже теплее, чем в Берлине. 
Если бы та ночь была теплая, Петр остался бы во тьме, петух пел бы зря, как все петухи, а в евангелии не было бы иронии. 
Хорошо, что Христос не был распят в России: климат у нас континентальный, морозы с бураном; толпами пришли бы ученики Иисуса на перекрестке к кострам и стали бы в очередь, чтобы отрекаться. 
Прости меня, Велимир Хлебников, за то, что я греюсь у огня чужих редакций. За то, что я издаю свою, а не твою книжку. Климат, учитель, у нас континентальный. 
Лисицы имеют свои норы, арестанту дают койку, нож ночует в ножнах, ты же не имел куда приклонить свою голову. 
В утопии, которую ты написал для журнала «Взял», есть среди прочих фантазий одна — каждый человек имеет право на комнату в любом городе. 
Правда, в утопии сказано, что человек должен иметь стеклянную комнату, но думаю, что Велимир согласился бы и на простую. 
Умер Хлебников, и какой-то пыльный человек в «Литературных записках» вялым языком сказал что-то о «неудачнике» 1.
На кладбище на могильном кресте написал художник Митурич:  
 «Велимир Хлебников — Председатель Земного Шара». 
Вот и нашлось помещение для странника, не стеклянное, правда. 
Вряд ли ты, Велимир, захотел бы воскреснуть, чтобы снова скитаться. 
А над другим крестом было написано: «Иисус Христос царь иудейский». 
Трудно тебе было ходить по степям и то служить солдатом, то сторожить ночью склады, то, полупленником, в Харькове участвовать в шумном выступлении имажинистов. 
Прости нас за себя и за других. 
За то, что мы греемся у чужих костров. 
Прежде думалось, что Хлебников сам не замечает, как он живет, что рукава его рубашки разорваны до плеч, решетка кровати не покрыта тюфяком, что рукописи, которыми он набивает наволочку, потеряны. Но перед смертью Хлебников вспоминал о своих рукописях. 
Умирал он ужасно. От заражения крови. 
Кровать его обставили цветами.
Поблизости не было доктора, была только женщина-врач, но женщину он не подпустил к себе.  
Вспоминаю о старом. 
Дело было в Куоккале уже осенью, когда ночи темны. 
Зимой встречал Хлебникова в доме одного архитектора. 
Дом богатый, мебель из карельской березы, хозяин белый, с черной бородой и умный. У него — дочки. Сюда ходил Хлебников. Хозяин читал его стихи и понимал. Хлебников похож был на больную птицу, недовольную тем, что на нее смотрят. 
Такой птицей сидел он, с опущенными крыльями, в старом сюртуке, и смотрел на дочь хозяина.
Он приносил ей цветы и читал ей свои вещи. 
Отрекался от них всех, кроме «Девьего бога».  
Спрашивал ее, как писать. 
Дело было в Куоккале, осенью. 
Хлебников жил там рядом с Кульбиным и Иваном Пуни. 
Я приехал туда, разыскал Хлебникова и сказал ему, что девушка вышла замуж за архитектора, помощника отца. 
Дело было такое простое. 
В такую беду попадают многие. Жизнь прилажена хорошо, как несессер, но мы все не можем найти в нем своего места. Жизнь примеривает нас друг к другу и смеется, когда мы тянемся к тому, кто нас не любит. Все это просто — как почтовые марки. 
Волны в заливе были тоже простые. 
Они и сейчас такие. Волны были как ребристое оцинкованное железо. На таком железе стирают. Облака были шерстяные. Хлебников мне сказал: 
— Вы знаете, что нанесли мне рану? 
Знал. 
— Скажите, что им нужно? Что нужно женщинам от нас? Чего они хотят? Я сделал бы все. Я записал бы иначе. Может быть, нужна слава? 
Море было простое. В дачах спали люди. 
Что я мог ответить на это Моление о Чаше? 
Пейте, друзья, пейте, великие и малые, горькую чашу любви! Здесь никому ничего не надо. Вход только по контрамаркам. И быть жестоким легко, нужно только не любить. Любовь тоже не понимает ни по-арамейски, ни по-русски. Она как гвозди, которыми пробивают. 
Оленю годятся в борьбе его рога, соловей поет не даром, но наши книги нам не пригодятся. Обида неизлечима. 
А нам остаются желтые стены домов, освещенные солнцем, наши книги и вся нами по пути к любви построенная человеческая культура. 
И завет быть легким. 
А если очень больно? 
Переведи все в космический масштаб, возьми сердце в зубы, пиши книгу. 
Но где та, которая любит меня? 
Я вижу ее во сне, и беру за руки, и называю именем Люси, синеглазым капитаном моей жизни, и падаю в обмороке к ее ногам, и выпадаю из сна. 
1 (это Горнфельд) ","текст письма",4,"Виктор"
"ПИСЬМО ПЯТОЕ,","номер письма",5,"Виктор"
"содержащее описание Ремизова Алексея Михайловича и его способа носить воду на четвертый этаж бутылками. Здесь же описаны быт и нравы великого обезьяньего ордена. Сюда же я вставил теоретические замечания о роли личного элемента как материала в искусстве.","содержание письма",5,"Виктор"
"Ты знаешь, у обезьяньего царя Асыки — Алексея Ремизова — опять неприятности: его выселяют из квартиры. 
Не дают спокойно пожить человеку, как он хочет. Зимой в 1919 году жил Ремизов в Петербурге, а водопровод в его доме взял да и лопнул. 
Всякий человек растерялся бы. Но Ремизов собрал у всех знакомых бутылки, маленькие аптекарские, винные и всякие другие, какие попались. Построил он их ротой в комнате на ковре, потом брал по две и бежал по лестнице вниз за водой. При таком способе воду нужно носить для каждого дня неделю. 
Очень неудобно, но — забавно! 
Жизнь Ремизова, — он сам ее построил, собственнохвостно, — очень неудобная, но забавная. 
Росту он малого, волос имеет густой и одним большим вихром-ежиком. Сутулится, а губы красные-красные. Нос курносый, и все — нарочно. 
А паспорт весь исписан обезьяньими знаками. Еще до того, как лопнул водопровод, ушел Ремизов от людей, — он уже заранее знал, что они за птицы, — и пошел к великому обезьяньему народу. 
Обезьяний орден придуман Ремизовым по типу русского масонства. Был в нем Блок, сейчас Кузмин состоит музыкантом Великой и вольной обезьяньей палаты, а Гржебин — тот кум обезьяний и в этом ордене состоит в чине и звании зауряд-князя, это на голодное и военное время. 
И я принят в этот обезьяний заговор, чин дал себе сам «короткохвостый обезьяненок». Хвост я себе сбрил сам, перед тем как уйти в Красную Армию в Херсоне. Так как ты зауряд-иностранка и твои чемоданы не знают, что владелицу их вскормила сибирячка, румяная Стеша, то нужно сказать тебе еще и то, что обезьяний народ имеет настоящего царя. Заслуженного. 
У Ремизова есть жена, очень русская, очень русая, крупная, Серафима Павловна Ремизова-Довгелло; она в Берлине как негр какой-нибудь в Москве времен Алексея Михайловича, царя, такая она белая и русская. 
Сам Ремизов тоже Алексей Михаилович. Говорил он мне раз: 
— Не могу я больше начать роман: «Иван Иванович сидел за столом». 
Так как я тебя уважаю, то вот тебе открытие тайны. 
Как корова съедает траву, так съедаются литературные темы, вынашиваются и истираются приемы.  
Писатель не может быть землепашцем: он кочевник и со своим стадом и женой переходит на новую траву. Наше обезьянье великое войско живет, как киплинговская кошка на крышах — «сама по себе». 
Вы ходите в платьях, и день идет у вас за днем; в убийстве и в любви вы традиционны. Обезьянье войско не ночует там, где обедало, и не пьет утреннего чая там, где спало. Оно всегда без квартиры. 
Их дело — создание новых вещей. Ремизов сейчас хочет создать книгу без сюжета, без судьбы человека, положенной в основу композиции. Он пишет то книгу, составленную из кусков, — это «Россия в письменах», это книга из обрывков книг, то книгу, наращенную на письма Розанова. 
Нельзя писать книгу по-старому. Это знает Белый, хорошо знал Розанов, знает Горький, когда не думает о синтезах, и знаю я, короткохвостый обезьяненок. 
Мы ввели в нашу работу интимное, названное по имени и отчеству из-за той же необходимости нового материала в искусстве. Соломон Каплун в новом рассказе Ремизова, Мария Федоровна Андреева в плаче его над Блоком — необходимость литературной формы. 
Обезьянье войско несет свою службу. Ходом коня наискось я пересек твою жизнь, как это было и есть — ты знаешь; но, Алик, ты попадешь в мою книгу, как Исаак на костре, сложенном Авраамом. А знаешь ли, Алик, что лишнее «а» в имя Авраама бог дал ему из великой любви? Лишний звук показался хорошим подарком даже для бога. 
Знаешь ли ты это, Алик? 
Впрочем, ты не будешь жертвой, это я обменной жертвой, барашком, впутался рогами в кустарник. 
Комната Ремизова вся в куколках, в чертиках, а Ремизов сидит и шипит на всех «тише, — хозяйка» и поднимает палец. Он не боится хозяйки — он играет. 
Тягостен вольным обезьянам путь по тротуарам, жизнь чужая. Женщины человеческие непонятны. Быт человеческий — страшный, тупой, косный, не гибкий. 
Мы быт превращаем в анекдоты. 
Строим между миром и собою маленькие собственные мирки-зверинцы. 
Мы хотим свободы. 
Ремизов живет в жизни методами искусства. 
Кончаю писать, мне нужно бежать в кондитерскую за тортом. Сейчас ко мне придет кто-то, потом нужно нести торт, потом еще зайти к кому-то, потом искать денег, продавать книгу, разговаривать с молодыми писателями. Ничего, в обезьяньем хозяйстве все пригодится. Вавилонское столпотворение для нас понятней парламента, обиды нам есть где записывать, розы и морозы у нас ходят в паре, потому что — рифмы. 
Я не отдам своего ремесла писателя, своей вольной дороги по крышам за европейский костюм, чищеные сапоги, высокую валюту, даже за Алю. ","текст письма",5,"Виктор"
